ISO3,Country,Region,Income Group,GDP per capita,Life Expectancy,CO2 Emissions per Capita,Labor Force Participation,Military Expenditure,Debt Service,Log GDP per capita,Log CO2 Emissions per Capita,High Income,Income Label
Unknown,Latin America & Caribbean,Unknown,Unknown,8145.99967744682,73.1889336743784,3230.6888,59.5875548010991,1.29340603467048,11.2093587549081,9.00540500071899,8.08076012787637,0,Non-High Income
Unknown,Sub-Saharan Africa,Unknown,Unknown,1532.69557630294,61.1675270829902,2288.2718,68.0950267765832,1.04076069055312,10.7873633950089,7.335435511322484,7.7359890547119665,0,Non-High Income
AFG,Afghanistan,South Asia,Low income,527.834554499306,61.454,26.6463,41.579,1.35885692738929,2.2440821580961,6.270675631522294,3.319491903462707,0,Non-High Income
ALB,Albania,Europe & Central Asia,Upper middle income,4417.04105105395,77.824,7.9674,57.78,1.29583570269739,17.7018181321605,8.393451675710084,2.1935957789821403,0,Non-High Income
DZA,Algeria,Middle East & North Africa,Upper middle income,4363.68533766912,73.257,241.132,39.611,3.643788958051971,0.406107212322761,8.381301378085146,5.489483031995883,0,Non-High Income
ASM,American Samoa,East Asia & Pacific,High income,13194.274740128,72.672,0.0085,61.277919354838716,2.2487102303993725,2.68166891822527,9.487614070253665,0.008464078412129412,1,High Income
AND,Andorra,Europe & Central Asia,High income,34536.6499209948,79.418,225.06140263157891,61.277919354838716,2.2487102303993725,2.68166891822527,10.449805310040052,5.420806655430494,1,High Income
AGO,Angola,Sub-Saharan Africa ,Lower middle income,2433.37637275564,63.116,61.6801,74.729,1.73699395811082,24.903785654640863,7.79744589296371,4.138044012891781,0,Non-High Income
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,14935.6150238496,77.161,0.3413,61.277919354838716,2.2487102303993725,2.68166891822527,9.611570861653497,0.29363929292590757,1,High Income
ARG,Argentina,Latin America & Caribbean ,Upper middle income,11393.0505957877,75.878,347.3124,56.023,0.734111593948744,17.585133742023,9.340846620594611,5.853099778231203,0,Non-High Income
ARM,Armenia,Europe & Central Asia,Upper middle income,4032.09043454955,73.3756097560976,9.9936,62.452,3.643788958051971,13.0544390771921,8.3022882182643,2.3973132852946746,0,Non-High Income
ABW,Aruba,Latin America & Caribbean ,High income,21947.9953301189,75.406,0.4822,61.277919354838716,2.2487102303993725,2.68166891822527,9.996476646618394,0.3935274705351215,1,High Income
AUS,Australia,East Asia & Pacific,High income,58132.798523626,83.2,584.5715,65.104,2.01065640494339,2.68166891822527,10.970502503883484,6.372588293429988,1,High Income
AUT,Austria,Europe & Central Asia,High income,43428.6983141255,81.1926829268293,77.2734,60.364,0.884127145088915,2.68166891822527,10.678898779019027,4.360207826249802,1,High Income
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,5083.56025445721,70.312,54.7245,67.223,3.643788958051971,7.98261127292957,8.533963825777006,4.02041990659821,0,Non-High Income
BHS,"Bahamas, The",Latin America & Caribbean ,High income,23879.3136835653,72.994,1.791,68.402,2.2487102303993725,2.68166891822527,10.080809703247956,1.026399954554185,1,High Income
