Country,GDP per capita,Life Expectancy,GHG Emissions,Labor Force Participation,Military Expenditure,Development Status,Status Label,GDP per capita (log),GHG Emissions per Capita,GHG Emissions per Capita (log)
Africa Eastern and Southern,1383.37781834824,63.7664840026943,1421.7752,66.2909266940518,1.12508237141778,0,Developing,7.233006089058599,1.027756250781588,0.22873598013027
Africa Western and Central,1751.19501048234,57.3644254011107,866.4966,70.803235957811,0.943009217676817,0,Developing,7.468624572655067,0.4948030315374966,0.22873598013027
Arab World,5861.7972778436,70.7265588103862,2855.4014,44.1240628183748,3.2351087559283496,1,Developed,8.676382119843083,0.4871204623184149,0.22873598013027
Caribbean small states,10893.2646542794,71.6276208799328,15.9304,58.0672870494656,2.1092126445396673,1,Developed,9.295991751230268,0.0014624082408336396,0.0014613399632806485
Central Europe and the Baltics,14504.8075525764,76.0074026201527,859.8807,56.6480083422115,1.93010185476976,1,Developed,9.58230436908893,0.05928246182399467,0.057591756100733166
Early-demographic dividend,3357.8244560177,69.8801308490982,11519.5735,54.21132759553,2.50143336780175,0,Developing,8.119346327460017,3.4306657929527207,0.22873598013027
East Asia & Pacific,11103.7258582781,76.5434376080231,20045.5688,65.6821138719945,1.65431663130632,1,Developed,9.315126049691361,1.8053011264732854,0.22873598013027
East Asia & Pacific (excluding high income),8150.22320292296,75.6976393295064,17384.7458,66.1159646551135,1.67373545145431,1,Developed,9.00592328122131,2.1330392269214435,0.22873598013027
East Asia & Pacific (IDA & IBRD countries),8241.55852879593,75.73384970547,17289.3369,65.9290062614139,1.67373545145431,1,Developed,9.017066075775505,2.0978237113273193,0.22873598013027
Euro area,34610.8850208902,81.487506689434,2567.0205,56.1432312670961,1.52183992003228,1,Developed,10.451952399777571,0.07416801097257743,0.07154641864958405
Europe & Central Asia,22944.3040398438,77.1746102388977,8030.9912,57.4679261243393,1.83099685180629,1,Developed,10.040868577551507,0.3500211288193283,0.22873598013027
Europe & Central Asia (excluding high income),6954.84321243087,73.5589073374531,1741.8458,54.9950183592428,2.43307256362971,1,Developed,8.847337335316592,0.2504507645674426,0.22350409796340853
Europe & Central Asia (IDA & IBRD countries),8731.99724313867,73.1551939454689,4704.3443,57.116372844838,3.03731405716384,1,Developed,9.07486391673049,0.538747799502173,0.22873598013027
European Union,31379.7615578403,80.4310201133423,3388.279,56.4351910602506,1.54267141832478,1,Developed,10.353950294884836,0.10797656934883341,0.10253544130441364
Fragile and conflict affected situations,1695.13452408245,62.0881829918929,2205.8376,61.9481233865391,1.79681578346589,0,Developing,7.436107131651148,1.3012758389744823,0.22873598013027
Heavily indebted poor countries (HIPC),943.987903544912,63.0726319690016,1239.158,64.6812850489093,1.17337458995985,0,Developing,6.8511721269302415,1.3126841936709674,0.22873598013027
High income,37554.0889748247,79.2001486815502,17104.6666,60.2918424630654,2.6160024976893,1,Developed,10.53356417330449,0.4554674888123776,0.22873598013027
IBRD only,6274.00736433143,73.2956686942805,30773.468,58.778360912338,1.94282078345486,1,Developed,8.74432993759793,4.904914229930822,0.22873598013027
IDA & IBRD total,4965.67182896473,70.7496272014679,33904.5157,59.5572367970004,1.90894831102947,0,Developing,8.510505242653773,6.827780181170088,0.22873598013027
IDA blend,1950.44151018836,60.850816739658,1328.2953,64.4618400798026,1.64048854155376,0,Developing,7.576323614451478,0.6810228827993526,0.22873598013027
IDA only,1116.41697745071,65.2834587967517,1802.7524,61.1326428066894,1.36150310014553,0,Developing,7.01877503061887,1.614766199737044,0.22873598013027
IDA total,1395.10937298767,63.8022749886515,3131.0477,62.2378586868638,1.47714106399874,0,Developing,7.2414446276656905,2.2443026766387244,0.22873598013027
Late-demographic dividend,9747.60290129074,76.6935326569972,21896.8093,64.6808409349375,1.95730180345428,1,Developed,9.184879261549279,2.2463788812222245,0.22873598013027
Latin America & Caribbean,8145.99967744682,73.1889336743784,3230.6888,59.5875548010991,1.29340603467048,1,Developed,9.00540500071899,0.39659819886128284,0.22873598013027
Latin America & Caribbean (excluding high income),7713.1035785803,72.9350521073235,2852.8304,60.1260948878422,1.2347032621115,1,Developed,8.950805566028338,0.3698680266556334,0.22873598013027
Latin America & the Caribbean (IDA & IBRD countries),8024.79852750121,73.0747493617473,3173.6912,59.856708206718,1.29340603467048,1,Developed,8.990416448032498,0.3954854678436688,0.22873598013027
Least developed countries: UN classification,1020.04519699244,64.8323585417323,1615.6852,62.2550190768175,1.44515834293329,0,Developing,6.928582084562406,1.5839349126526738,0.22873598013027
Low & middle income,4692.43176532252,70.6674106202506,30715.3456,59.6717081602968,1.78291968504852,0,Developing,8.453919313548967,6.545720244029777,0.22873598013027
Low income,699.867964986009,63.3694817765636,963.6666,62.1794959604609,1.34851455113815,0,Developing,6.552319516920315,1.37692628925981,0.22873598013027
Lower middle income,2023.50424369151,68.045202107109,7024.244,56.1934733938204,2.17974940307462,0,Developing,7.6130801316377195,3.471326547447987,0.22873598013027
Middle East & North Africa,7067.86465301669,72.6473205039178,3638.9024,44.679127216694,3.2351087559283496,1,Developed,8.863455159434634,0.5148517379215591,0.22873598013027
Middle East & North Africa (excluding high income),3774.65352636265,71.6409876742629,2110.8255,41.96855394819531,2.89523081109296,0,Developing,8.236328766265927,0.5592103977908786,0.22873598013027
Middle East & North Africa (IDA & IBRD countries),3784.54884071019,71.602007086554,2110.8255,41.96855394819531,2.89523081109296,0,Developing,8.238946159510109,0.5577482518639905,0.22873598013027
Middle income,5163.6994642281,71.5286230831394,29751.679,59.4404940380227,1.78867500041536,0,Developing,8.5496021928769,5.761698411401922,0.22873598013027
North America,57737.897806055,77.449874465938,6383.8798,61.824689007551,3.2351087559283496,1,Developed,10.963686364119853,0.1105665436840778,0.10487028482999752
Not classified,2588.0664359177026,67.45430911750672,1246.471953030303,59.04029076105143,1.8049708592377387,0,Developing,7.859052640263441,0.48162285779511543,0.22873598013027
OECD members,36385.5052653603,78.9574582347209,14244.6094,59.2428440838223,2.44664655202383,1,Developed,10.501953250417696,0.3914913176583298,0.22873598013027
Other small states,12299.5886034111,73.1628849294383,127.58,58.6155887846017,2.34280443612822,1,Developed,9.417402394151408,0.010372704658155612,0.010319277297083174
Pacific island small states,3524.51350515927,68.3568108792759,6.7568,64.0825780969011,1.8049708592377387,0,Developing,8.167781379859251,0.0019170872774665862,0.0019152520108550483
Post-demographic dividend,41703.96284105,80.0635835800272,12734.0688,59.8580732909462,2.48490611668265,1,Developed,10.638375413680231,0.30534433498644914,0.22873598013027
Pre-demographic dividend,1407.22788932783,60.501207001444,1801.8447,67.1144021116393,1.3888555668484,0,Developing,7.250087376836958,1.2804213970351745,0.22873598013027
Small states,10913.6905498358,72.2829532662199,150.2672,59.1188840242942,2.2755055862446,1,Developed,9.29786491767384,0.013768687989990777,0.013674760792976007
South Asia,1745.81850493103,69.6005740994618,4338.046,51.9337945599124,2.65017267013044,0,Developing,7.465551415172783,2.484820723200765,0.22873598013027
South Asia (IDA & IBRD),1745.81850493103,69.6005740994618,4338.046,51.9337945599124,2.65017267013044,0,Developing,7.465551415172783,2.484820723200765,0.22873598013027
Sub-Saharan Africa,1532.69557630294,61.1675270829902,2288.2718,68.0950267765832,1.04076069055312,0,Developing,7.335435511322484,1.4929721435743994,0.22873598013027
Sub-Saharan Africa (excluding high income),1531.38863702908,61.1661735295458,2287.0521,68.0950267765832,1.04032909349639,0,Developing,7.334582997652225,1.4934498302383383,0.22873598013027
Sub-Saharan Africa (IDA & IBRD countries),1532.69557630294,61.1675270829902,2288.2718,68.0950267765832,1.04076069055313,0,Developing,7.335435511322484,1.4929721435743994,0.22873598013027
Upper middle income,8499.78691038916,75.2293474558881,22727.435,62.4596976340328,1.69145938221841,1,Developed,9.0479140158862,2.6738829149023258,0.22873598013027
World,10523.9210942655,72.1827671974507,49327.538885203,59.7680231039701,2.3295001546231,1,Developed,9.26150116154058,4.687182509576363,0.22873598013027
Afghanistan,527.834554499306,61.454,26.6463,41.96855394819531,1.35885692738929,0,Developing,6.270675631522294,0.05048229558460071,0.049249387838291615
Albania,4417.04105105395,77.824,7.9674,57.78,1.29583570269739,0,Developing,8.393451675710084,0.0018037867223576968,0.0018021618527398885
Algeria,4363.68533766912,73.257,241.132,41.96855394819531,3.2351087559283496,0,Developing,8.381301378085146,0.05525879648526666,0.05378604157111636
American Samoa,13194.274740128,72.672,0.0085,60.01440606717643,2.1092126445396673,1,Developed,9.487614070253665,6.442188121298391e-07,6.442186046209893e-07
Andorra,34536.6499209948,79.418,2518.7549931529666,60.01440606717643,2.1092126445396673,1,Developed,10.449805310040052,0.07292991644860776,0.07039314599687116
Angola,2433.37637275564,63.116,61.6801,74.729,1.73699395811082,0,Developing,7.79744589296371,0.025347537968469426,0.025031616554686872
Antigua and Barbuda,14935.6150238496,77.161,0.3413,60.01440606717643,2.1092126445396673,1,Developed,9.611570861653497,2.2851419205369367e-05,2.2851158115667025e-05
Argentina,11393.0505957877,75.878,347.3124,56.023,0.734111593948744,1,Developed,9.340846620594611,0.03048458330628412,0.030029160834997733
Armenia,4032.09043454955,73.3756097560976,9.9936,62.452,3.2351087559283496,0,Developing,8.3022882182643,0.0024785158374346947,0.0024754493828488527
