Country,GDP per capita,Life Expectancy,GHG Emissions,Labor Force Participation,Military Expenditure
Africa Eastern and Southern,1383.37781834824,63.7664840026943,1421.7752,66.2909266940518,1.12508237141778
Africa Western and Central,1751.19501048234,57.3644254011107,866.4966,70.803235957811,0.943009217676817
Arab World,5861.7972778436,70.7265588103862,2855.4014,44.1240628183748,5.59942444130813
Caribbean small states,10893.2646542794,71.6276208799328,15.9304,58.0672870494656,
Central Europe and the Baltics,14504.8075525764,76.0074026201527,859.8807,56.6480083422115,1.93010185476976
Early-demographic dividend,3357.8244560177,69.8801308490982,11519.5735,54.21132759553,2.50143336780175
East Asia & Pacific,11103.7258582781,76.5434376080231,20045.5688,65.6821138719945,1.65431663130632
East Asia & Pacific (excluding high income),8150.22320292296,75.6976393295064,17384.7458,66.1159646551135,1.67373545145431
East Asia & Pacific (IDA & IBRD countries),8241.55852879593,75.73384970547,17289.3369,65.9290062614139,1.67373545145431
Euro area,34610.8850208902,81.487506689434,2567.0205,56.1432312670961,1.52183992003228
Europe & Central Asia,22944.3040398438,77.1746102388977,8030.9912,57.4679261243393,1.83099685180629
Europe & Central Asia (excluding high income),6954.84321243087,73.5589073374531,1741.8458,54.9950183592428,2.43307256362971
Europe & Central Asia (IDA & IBRD countries),8731.99724313867,73.1551939454689,4704.3443,57.116372844838,3.03731405716384
European Union,31379.7615578403,80.4310201133423,3388.279,56.4351910602506,1.54267141832478
Fragile and conflict affected situations,1695.13452408245,62.0881829918929,2205.8376,61.9481233865391,1.79681578346589
Heavily indebted poor countries (HIPC),943.987903544912,63.0726319690016,1239.158,64.6812850489093,1.17337458995985
High income,37554.0889748247,79.2001486815502,17104.6666,60.2918424630654,2.6160024976893
IBRD only,6274.00736433143,73.2956686942805,30773.468,58.778360912338,1.94282078345486
IDA & IBRD total,4965.67182896473,70.7496272014679,33904.5157,59.5572367970004,1.90894831102947
IDA blend,1950.44151018836,60.850816739658,1328.2953,64.4618400798026,1.64048854155376
IDA only,1116.41697745071,65.2834587967517,1802.7524,61.1326428066894,1.36150310014553
IDA total,1395.10937298767,63.8022749886515,3131.0477,62.2378586868638,1.47714106399874
Late-demographic dividend,9747.60290129074,76.6935326569972,21896.8093,64.6808409349375,1.95730180345428
Latin America & Caribbean,8145.99967744682,73.1889336743784,3230.6888,59.5875548010991,1.29340603467048
Latin America & Caribbean (excluding high income),7713.1035785803,72.9350521073235,2852.8304,60.1260948878422,1.2347032621115
Latin America & the Caribbean (IDA & IBRD countries),8024.79852750121,73.0747493617473,3173.6912,59.856708206718,1.29340603467048
Least developed countries: UN classification,1020.04519699244,64.8323585417323,1615.6852,62.2550190768175,1.44515834293329
